pass_no,rel,exit_code,seconds,log_file
2,audit\audit_harvest_start_ml2.py,1,0.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_harvest_start_ml2.py.log
2,audit\audit_hidr_poscosecha_ml2.py,1,0.85,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_hidr_poscosecha_ml2.py.log
2,audit\audit_ml1_curva_share_vs_real.py,1,1.02,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_ml1_curva_share_vs_real.py.log
2,audit\audit_ml1_curva_shares.py,1,1.31,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_ml1_curva_shares.py.log
2,audit\audit_peso_tallo_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_peso_tallo_ml2.py.log
2,audit\audit_poscosecha_ml2_baseline.py,1,0.77,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_poscosecha_ml2_baseline.py.log
2,audit\audit_share_grado_ml2.py,1,0.78,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_share_grado_ml2.py.log
2,audit\audit_tallos_curve_ml2.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass02__audit__audit_tallos_curve_ml2.py.log
3,gold\build_ds_ajuste_poscosecha_ml2_v1.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_ds_ajuste_poscosecha_ml2_v1.py.log
3,gold\build_ds_desp_poscosecha_ml2_v1.py,1,0.70,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_ds_desp_poscosecha_ml2_v1.py.log
3,gold\build_ds_dh_poscosecha_ml2_v1.py,1,0.65,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_ds_dh_poscosecha_ml2_v1.py.log
3,gold\build_ds_hidr_poscosecha_ml2_v1.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_ds_hidr_poscosecha_ml2_v1.py.log
3,gold\build_pred_kg_cajas_ml2.py,0,3.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_pred_kg_cajas_ml2.py.log
3,gold\build_pred_poscosecha_ml2_final_views.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_pred_poscosecha_ml2_final_views.py.log
3,gold\build_pred_poscosecha_ml2_seed_mix_grado_dia.py,0,3.69,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_pred_poscosecha_ml2_seed_mix_grado_dia.py.log
3,gold\build_pred_poscosecha_ml2_views_from_full.py,1,0.65,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_pred_poscosecha_ml2_views_from_full.py.log
3,gold\build_pred_tallos_ml2_full.py,0,1.33,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__build_pred_tallos_ml2_full.py.log
3,gold\apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.py,1,1.82,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.py.log
3,gold\apply_dh_poscosecha_ml1_on_ml2_seed.py,0,4.21,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__apply_dh_poscosecha_ml1_on_ml2_seed.py.log
3,gold\apply_hidr_poscosecha_ml1_on_ml2_dh.py,0,4.22,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__gold__apply_hidr_poscosecha_ml1_on_ml2_dh.py.log
3,models\ml2\train_ajuste_poscosecha_ml2.py,1,1.83,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__train_ajuste_poscosecha_ml2.py.log
3,models\ml2\train_desp_poscosecha_ml2.py,1,1.76,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__train_desp_poscosecha_ml2.py.log
3,models\ml2\train_dh_poscosecha_ml2.py,1,1.78,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__train_dh_poscosecha_ml2.py.log
3,models\ml2\train_hidr_poscosecha_ml2.py,1,1.81,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__train_hidr_poscosecha_ml2.py.log
3,models\ml2\apply_ajuste_poscosecha_ml2.py,1,0.69,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__apply_ajuste_poscosecha_ml2.py.log
3,models\ml2\apply_desp_poscosecha_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__apply_desp_poscosecha_ml2.py.log
3,models\ml2\apply_dh_poscosecha_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__apply_dh_poscosecha_ml2.py.log
3,models\ml2\apply_hidr_poscosecha_ml2.py,1,0.77,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__models__ml2__apply_hidr_poscosecha_ml2.py.log
3,eval\build_kpis_ajuste_poscosecha_ml2.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_ajuste_poscosecha_ml2.py.log
3,eval\build_kpis_desp_poscosecha_ml2.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_desp_poscosecha_ml2.py.log
3,eval\build_kpis_dh_poscosecha_ml2.py,1,0.63,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_dh_poscosecha_ml2.py.log
3,eval\build_kpis_harvest_horizon_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_harvest_horizon_ml2.py.log
3,eval\build_kpis_harvest_start_ml2.py,1,0.70,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_harvest_start_ml2.py.log
3,eval\build_kpis_hidr_poscosecha_ml2.py,1,0.62,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_hidr_poscosecha_ml2.py.log
3,eval\build_kpis_poscosecha_ml2_baseline.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__eval__build_kpis_poscosecha_ml2_baseline.py.log
3,audit\audit_ajuste_poscosecha_ml2.py,1,0.63,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_ajuste_poscosecha_ml2.py.log
3,audit\audit_desp_poscosecha_ml2.py,1,0.62,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_desp_poscosecha_ml2.py.log
3,audit\audit_dh_poscosecha_ml2.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_dh_poscosecha_ml2.py.log
3,audit\audit_harvest_horizon_ml2.py,1,0.63,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_harvest_horizon_ml2.py.log
3,audit\audit_harvest_start_ml2.py,1,0.68,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_harvest_start_ml2.py.log
3,audit\audit_hidr_poscosecha_ml2.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_hidr_poscosecha_ml2.py.log
3,audit\audit_ml1_curva_share_vs_real.py,1,0.81,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_ml1_curva_share_vs_real.py.log
3,audit\audit_ml1_curva_shares.py,1,1.15,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_ml1_curva_shares.py.log
3,audit\audit_peso_tallo_ml2.py,1,0.62,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_peso_tallo_ml2.py.log
3,audit\audit_poscosecha_ml2_baseline.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_poscosecha_ml2_baseline.py.log
3,audit\audit_share_grado_ml2.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_share_grado_ml2.py.log
3,audit\audit_tallos_curve_ml2.py,1,0.70,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass03__audit__audit_tallos_curve_ml2.py.log
4,gold\build_ds_ajuste_poscosecha_ml2_v1.py,1,0.91,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass04__gold__build_ds_ajuste_poscosecha_ml2_v1.py.log
